,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Amount_Term1,app_income_cut,coapp_income_cut,Loan_StatusNum
599,2,Graduate,No,5780,0.0,192.0,360.0,1.0,Urban,200-500,0-12.5K,0-5K,1
602,3+,Graduate,No,5703,0.0,128.0,360.0,1.0,Urban,200-500,0-12.5K,0-5K,1
603,0,Graduate,No,3676,4301.0,172.0,360.0,1.0,Rural,200-500,0-12.5K,0-5K,1
604,1,Graduate,No,12000,0.0,496.0,360.0,1.0,Semiurban,200-500,0-12.5K,0-5K,1
605,0,Not Graduate,No,2400,3800.0,146.41,180.0,1.0,Urban,100-200,0-12.5K,0-5K,0
606,1,Graduate,No,3400,2500.0,173.0,360.0,1.0,Semiurban,200-500,0-12.5K,0-5K,1
607,2,Not Graduate,No,3987,1411.0,157.0,360.0,1.0,Rural,200-500,0-12.5K,0-5K,1
608,0,Graduate,No,3232,1950.0,108.0,360.0,1.0,Rural,200-500,0-12.5K,0-5K,1
609,0,Graduate,No,2900,0.0,71.0,360.0,1.0,Rural,200-500,0-12.5K,0-5K,1
610,3+,Graduate,No,4106,0.0,40.0,180.0,1.0,Rural,100-200,0-12.5K,0-5K,1
611,1,Graduate,No,8072,240.0,253.0,360.0,1.0,Urban,200-500,0-12.5K,0-5K,1
612,2,Graduate,No,7583,0.0,187.0,360.0,1.0,Urban,200-500,0-12.5K,0-5K,1
613,0,Graduate,Yes,4583,0.0,133.0,360.0,0.0,Semiurban,200-500,0-12.5K,0-5K,0
