Country,Year,Bank account,Location Type,Access to cellphone,Household size,Age of respondent,Gender of respondent,Relation with head of the house,Marital status,Education level,Job type
Rwanda,2016,No,Rural,Yes,5,27,Male,Child,Single/Never Married,Secondary education,Self employed
Rwanda,2016,No,Rural,Yes,3,24,Female,Child,Single/Never Married,Secondary education,Farming and Fishing
Rwanda,2016,No,Rural,Yes,6,17,Male,Child,Single/Never Married,Secondary education,Informally employed
Rwanda,2016,No,Urban,Yes,5,62,Female,Spouse,Married/Living together,Primary education,Remittance Dependent
Rwanda,2016,No,Rural,Yes,3,24,Female,Parent,Single/Never Married,Secondary education,Farming and Fishing
Rwanda,2016,Yes,Rural,Yes,4,46,Female,Head of Household,Widowed,Secondary education,Farming and Fishing
Rwanda,2016,No,Rural,Yes,10,26,Female,Child,Single/Never Married,Secondary education,Informally employed
Rwanda,2016,No,Rural,Yes,6,51,Female,Head of Household,Widowed,No formal education,Informally employed
Rwanda,2016,No,Rural,Yes,4,66,Female,Head of Household,Widowed,No formal education,Informally employed
Rwanda,2016,No,Rural,Yes,6,31,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,Yes,Rural,Yes,5,41,Female,Spouse,Married/Living together,Secondary education,Self employed
Rwanda,2016,No,Rural,No,3,76,Female,Head of Household,Widowed,No formal education,Farming and Fishing
Rwanda,2016,No,Rural,Yes,7,40,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,No,Rural,Yes,5,35,Male,Head of Household,Married/Living together,Primary education,Informally employed
Rwanda,2016,No,Rural,No,1,65,Male,Head of Household,Widowed,Primary education,Informally employed
Rwanda,2016,Yes,Rural,Yes,4,25,Female,Spouse,Married/Living together,Secondary education,Remittance Dependent
Rwanda,2016,No,Rural,No,2,83,Female,Head of Household,Widowed,No formal education,Government Dependent
Rwanda,2016,No,Rural,No,1,74,Male,Head of Household,Divorced/Seperated,No formal education,Farming and Fishing
Rwanda,2016,No,Rural,Yes,4,31,Female,Head of Household,Divorced/Seperated,Primary education,Informally employed
Rwanda,2016,No,Rural,Yes,3,53,Female,Head of Household,Divorced/Seperated,No formal education,Farming and Fishing
Rwanda,2016,No,Rural,Yes,5,63,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,No,Urban,Yes,3,49,Female,Head of Household,Widowed,Primary education,Remittance Dependent
Rwanda,2016,Yes,Rural,Yes,9,46,Female,Head of Household,Widowed,Secondary education,Farming and Fishing
Rwanda,2016,No,Rural,Yes,3,30,Male,Head of Household,Married/Living together,Primary education,Self employed
Rwanda,2016,No,Rural,Yes,3,25,Female,Spouse,Married/Living together,No formal education,Informally employed
Rwanda,2016,No,Rural,Yes,2,79,Female,Head of Household,Widowed,No formal education,Farming and Fishing
Rwanda,2016,No,Rural,Yes,3,30,Male,Head of Household,Married/Living together,Primary education,Informally employed
Rwanda,2016,No,Rural,No,2,64,Female,Head of Household,Widowed,No formal education,Remittance Dependent
Rwanda,2016,Yes,Urban,Yes,6,45,Male,Head of Household,Married/Living together,Primary education,Informally employed
Rwanda,2016,No,Rural,No,1,40,Female,Head of Household,Single/Never Married,No formal education,Informally employed
Rwanda,2016,No,Rural,Yes,4,70,Female,Spouse,Married/Living together,No formal education,Farming and Fishing
Rwanda,2016,No,Rural,Yes,5,60,Female,Head of Household,Widowed,Primary education,Farming and Fishing
Rwanda,2016,No,Rural,Yes,4,28,Female,Spouse,Married/Living together,No formal education,Informally employed
Rwanda,2016,No,Rural,Yes,3,20,Female,Child,Single/Never Married,Secondary education,Remittance Dependent
Rwanda,2016,No,Rural,Yes,5,16,Male,Parent,Single/Never Married,Primary education,Informally employed
Rwanda,2016,No,Rural,Yes,5,20,Female,Child,Single/Never Married,Primary education,Informally employed
Rwanda,2016,No,Rural,Yes,6,42,Male,Head of Household,Married/Living together,Primary education,Informally employed
Rwanda,2016,No,Rural,Yes,4,17,Female,Parent,Single/Never Married,Secondary education,Informally employed
Rwanda,2016,No,Rural,Yes,5,36,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,No,Rural,Yes,2,48,Female,Head of Household,Widowed,No formal education,Informally employed
Rwanda,2016,No,Rural,Yes,6,35,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,Yes,Rural,Yes,5,34,Male,Head of Household,Married/Living together,Primary education,Informally employed
Rwanda,2016,Yes,Rural,Yes,2,67,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,Yes,Urban,Yes,4,28,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,No,Urban,Yes,5,20,Male,Child,Single/Never Married,Secondary education,Remittance Dependent
Rwanda,2016,No,Rural,No,3,49,Female,Spouse,Married/Living together,Primary education,Informally employed
Rwanda,2016,No,Rural,Yes,3,78,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,No,Rural,Yes,3,30,Female,Head of Household,Married/Living together,Primary education,Remittance Dependent
Rwanda,2016,No,Rural,Yes,4,28,Male,Head of Household,Married/Living together,Secondary education,Farming and Fishing
Rwanda,2016,No,Urban,Yes,12,16,Male,Child,Single/Never Married,Secondary education,Remittance Dependent
Rwanda,2016,No,Urban,Yes,3,18,Male,Other non-relatives,Single/Never Married,Secondary education,Remittance Dependent
Rwanda,2016,No,Rural,Yes,5,17,Female,Child,Single/Never Married,Secondary education,Informally employed
Rwanda,2016,No,Rural,Yes,3,25,Female,Spouse,Married/Living together,Primary education,Informally employed
Rwanda,2016,No,Rural,Yes,3,27,Female,Spouse,Married/Living together,No formal education,Farming and Fishing
Rwanda,2016,No,Rural,Yes,3,71,Female,Head of Household,Widowed,No formal education,Farming and Fishing
Rwanda,2016,No,Rural,Yes,6,19,Male,Child,Single/Never Married,Primary education,Farming and Fishing
Rwanda,2016,No,Rural,No,4,40,Female,Spouse,Married/Living together,No formal education,Informally employed
Rwanda,2016,No,Rural,Yes,8,45,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,No,Urban,Yes,7,38,Male,Head of Household,Married/Living together,Primary education,Informally employed
Rwanda,2016,No,Rural,No,5,35,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,Yes,Rural,No,5,50,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,No,Rural,Yes,2,26,Female,Other non-relatives,Divorced/Seperated,Primary education,Informally employed
Rwanda,2016,No,Rural,Yes,4,33,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,No,Rural,Yes,2,68,Female,Head of Household,Widowed,No formal education,Farming and Fishing
Rwanda,2016,No,Rural,No,6,45,Female,Spouse,Married/Living together,No formal education,Informally employed
Rwanda,2016,No,Urban,Yes,2,42,Male,Head of Household,Married/Living together,Vocational/Specialised training,Self employed
Rwanda,2016,No,Rural,Yes,3,54,Female,Head of Household,Widowed,No formal education,Farming and Fishing
Rwanda,2016,No,Urban,Yes,6,19,Female,Parent,Single/Never Married,Secondary education,Remittance Dependent
Rwanda,2016,No,Urban,Yes,6,18,Male,Child,Single/Never Married,Secondary education,Other Income
Rwanda,2016,Yes,Rural,Yes,3,44,Female,Head of Household,Widowed,Secondary education,Informally employed
Rwanda,2016,No,Rural,Yes,4,30,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,No,Rural,Yes,6,41,Male,Head of Household,Married/Living together,Secondary education,Self employed
Rwanda,2016,No,Urban,Yes,7,20,Male,Child,Single/Never Married,Secondary education,Farming and Fishing
Rwanda,2016,No,Urban,Yes,4,31,Female,Head of Household,Married/Living together,No formal education,Informally employed
Rwanda,2016,No,Rural,Yes,3,25,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,No,Rural,Yes,4,46,Female,Head of Household,Widowed,No formal education,Informally employed
Rwanda,2016,No,Rural,Yes,4,28,Male,Head of Household,Married/Living together,Primary education,Informally employed
Rwanda,2016,No,Rural,Yes,5,19,Female,Child,Single/Never Married,Primary education,Remittance Dependent
Rwanda,2016,No,Rural,Yes,5,40,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing
Rwanda,2016,Yes,Rural,Yes,6,80,Male,Head of Household,Married/Living together,Secondary education,Farming and Fishing
Rwanda,2016,No,Rural,Yes,6,20,Female,Child,Single/Never Married,Secondary education,Remittance Dependent
Rwanda,2016,Yes,Rural,Yes,5,35,Male,Head of Household,Married/Living together,Tertiary education,Formally employed Government
Rwanda,2016,No,Rural,Yes,9,27,Female,Child,Single/Never Married,Primary education,Farming and Fishing
Rwanda,2016,No,Rural,Yes,6,34,Female,Spouse,Married/Living together,Primary education,Informally employed
Rwanda,2016,No,Rural,Yes,7,32,Female,Spouse,Married/Living together,No formal education,Informally employed
Rwanda,2016,No,Urban,Yes,4,46,Female,Spouse,Married/Living together,Secondary education,Informally employed
Rwanda,2016,No,Rural,Yes,6,36,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,No,Rural,Yes,10,23,Female,Child,Single/Never Married,No formal education,Farming and Fishing
Rwanda,2016,No,Rural,Yes,5,45,Male,Head of Household,Married/Living together,Primary education,Informally employed
Rwanda,2016,No,Rural,Yes,3,27,Male,Head of Household,Married/Living together,Primary education,Informally employed
Rwanda,2016,No,Rural,No,4,34,Female,Spouse,Married/Living together,No formal education,Informally employed
Rwanda,2016,No,Rural,Yes,1,24,Male,Head of Household,Divorced/Seperated,Primary education,Informally employed
Rwanda,2016,No,Rural,Yes,7,32,Female,Spouse,Married/Living together,Primary education,Informally employed
Rwanda,2016,Yes,Rural,Yes,6,47,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,No,Rural,No,4,20,Female,Child,Single/Never Married,Primary education,Farming and Fishing
Rwanda,2016,No,Rural,No,3,71,Male,Head of Household,Married/Living together,No formal education,Other Income
Rwanda,2016,No,Rural,No,4,19,Male,Child,Single/Never Married,Primary education,Informally employed
Rwanda,2016,Yes,Rural,Yes,6,43,Male,Head of Household,Married/Living together,Secondary education,Farming and Fishing
Rwanda,2016,No,Rural,Yes,3,65,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing
Rwanda,2016,No,Rural,Yes,8,51,Male,Head of Household,Married/Living together,No formal education,Informally employed
Rwanda,2016,No,Rural,Yes,5,35,Male,Head of Household,Married/Living together,Primary education,Informally employed
Rwanda,2016,No,Urban,Yes,3,60,Female,Head of Household,Widowed,Primary education,Informally employed
Rwanda,2016,No,Rural,Yes,3,52,Female,Head of Household,Widowed,Primary education,Farming and Fishing
Rwanda,2016,No,Rural,Yes,7,18,Male,Parent,Single/Never Married,Primary education,Informally employed
Rwanda,2016,No,Rural,Yes,3,52,Female,Head of Household,Widowed,No formal education,Farming and Fishing
Rwanda,2016,No,Rural,No,3,31,Male,Head of Household,Married/Living together,Primary education,Informally employed
Rwanda,2016,No,Urban,No,3,27,Female,Spouse,Married/Living together,No formal education,Formally employed Private
Rwanda,2016,No,Rural,Yes,6,42,Female,Head of Household,Widowed,Primary education,Farming and Fishing
Rwanda,2016,No,Rural,No,3,40,Female,Head of Household,Widowed,No formal education,Self employed
Rwanda,2016,No,Rural,Yes,3,25,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,No,Rural,No,1,64,Female,Head of Household,Widowed,No formal education,Remittance Dependent
Rwanda,2016,No,Rural,No,8,42,Female,Head of Household,Divorced/Seperated,No formal education,Self employed
Rwanda,2016,No,Rural,No,9,33,Female,Child,Divorced/Seperated,Primary education,Informally employed
Rwanda,2016,No,Urban,Yes,1,69,Female,Head of Household,Widowed,Primary education,Remittance Dependent
Rwanda,2016,No,Rural,Yes,1,56,Female,Head of Household,Widowed,No formal education,Farming and Fishing
Rwanda,2016,No,Rural,Yes,3,29,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,No,Urban,Yes,4,40,Female,Spouse,Married/Living together,Primary education,Remittance Dependent
Rwanda,2016,No,Rural,Yes,5,26,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,No,Rural,Yes,5,33,Male,Head of Household,Married/Living together,Primary education,Informally employed
Rwanda,2016,No,Rural,No,2,77,Female,Spouse,Married/Living together,No formal education,Farming and Fishing
Rwanda,2016,No,Rural,Yes,4,40,Female,Head of Household,Widowed,No formal education,Farming and Fishing
Rwanda,2016,No,Urban,Yes,4,34,Male,Head of Household,Married/Living together,Primary education,Informally employed
Rwanda,2016,No,Rural,Yes,7,43,Female,Spouse,Divorced/Seperated,Primary education,Farming and Fishing
Rwanda,2016,No,Rural,Yes,3,26,Female,Spouse,Married/Living together,Secondary education,Farming and Fishing
Rwanda,2016,No,Rural,Yes,4,30,Male,Head of Household,Married/Living together,Primary education,Self employed
Rwanda,2016,No,Rural,Yes,4,28,Female,Spouse,Married/Living together,Primary education,Informally employed
Rwanda,2016,No,Urban,Yes,7,21,Male,Child,Single/Never Married,Secondary education,Informally employed
Rwanda,2016,No,Rural,No,4,47,Female,Head of Household,Divorced/Seperated,No formal education,Informally employed
Rwanda,2016,No,Rural,Yes,5,53,Female,Spouse,Married/Living together,No formal education,Farming and Fishing
Rwanda,2016,No,Rural,Yes,5,34,Female,Spouse,Married/Living together,Primary education,Informally employed
Rwanda,2016,No,Rural,Yes,4,30,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,No,Rural,Yes,3,65,Female,Head of Household,Widowed,Primary education,Self employed
Rwanda,2016,Yes,Rural,Yes,4,38,Male,Head of Household,Married/Living together,Tertiary education,Formally employed Government
Rwanda,2016,No,Urban,Yes,6,41,Female,Spouse,Married/Living together,Primary education,Informally employed
Rwanda,2016,No,Rural,Yes,3,56,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,No,Rural,Yes,2,25,Male,Child,Single/Never Married,No formal education,Farming and Fishing
Rwanda,2016,No,Rural,Yes,5,34,Male,Head of Household,Married/Living together,No formal education,Informally employed
Rwanda,2016,No,Rural,Yes,4,53,Female,Head of Household,Widowed,Primary education,Farming and Fishing
Rwanda,2016,No,Rural,Yes,3,80,Female,Head of Household,Divorced/Seperated,No formal education,Other Income
Rwanda,2016,No,Rural,Yes,5,33,Female,Spouse,Married/Living together,Primary education,Informally employed
Rwanda,2016,No,Rural,Yes,2,25,Male,Child,Single/Never Married,Primary education,Informally employed
Rwanda,2016,No,Rural,No,3,23,Female,Spouse,Married/Living together,Primary education,Informally employed
Rwanda,2016,No,Rural,Yes,7,49,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing
Rwanda,2016,No,Rural,Yes,2,20,Female,Spouse,Married/Living together,Primary education,Informally employed
Rwanda,2016,No,Rural,Yes,5,54,Female,Spouse,Married/Living together,Primary education,Informally employed
Rwanda,2016,No,Rural,Yes,3,22,Male,Child,Single/Never Married,Secondary education,Farming and Fishing
Rwanda,2016,No,Rural,Yes,6,19,Female,Child,Single/Never Married,Secondary education,Formally employed Government
Rwanda,2016,No,Rural,Yes,6,48,Female,Spouse,Married/Living together,Secondary education,Farming and Fishing
Rwanda,2016,No,Rural,Yes,5,35,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,No,Rural,Yes,3,46,Male,Spouse,Married/Living together,No formal education,Informally employed
Rwanda,2016,No,Rural,No,5,33,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing
Rwanda,2016,No,Rural,Yes,4,38,Female,Child,Divorced/Seperated,No formal education,Informally employed
Rwanda,2016,No,Rural,No,1,39,Male,Head of Household,Married/Living together,Primary education,Informally employed
Rwanda,2016,No,Urban,Yes,3,30,Female,Head of Household,Divorced/Seperated,Primary education,Self employed
Rwanda,2016,No,Rural,Yes,4,27,Female,Spouse,Married/Living together,Primary education,Informally employed
Rwanda,2016,No,Rural,Yes,8,35,Female,Spouse,Married/Living together,Primary education,Informally employed
Rwanda,2016,No,Rural,No,1,64,Female,Head of Household,Widowed,No formal education,Farming and Fishing
Rwanda,2016,No,Rural,No,5,16,Female,Child,Single/Never Married,No formal education,Farming and Fishing
Rwanda,2016,No,Urban,Yes,3,26,Female,Head of Household,Single/Never Married,Primary education,Self employed
Rwanda,2016,No,Rural,Yes,3,40,Female,Head of Household,Widowed,No formal education,Farming and Fishing
Rwanda,2016,No,Rural,Yes,5,51,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,Yes,Rural,Yes,3,55,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,No,Rural,No,5,53,Male,Head of Household,Married/Living together,Primary education,Informally employed
Rwanda,2016,No,Rural,No,3,32,Female,Head of Household,Married/Living together,Secondary education,Informally employed
Rwanda,2016,No,Rural,Yes,6,19,Male,Parent,Single/Never Married,Secondary education,Farming and Fishing
Rwanda,2016,No,Rural,Yes,4,43,Female,Head of Household,Married/Living together,Secondary education,Informally employed
Rwanda,2016,Yes,Urban,Yes,5,61,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,No,Rural,Yes,7,44,Female,Head of Household,Married/Living together,Primary education,Informally employed
Rwanda,2016,Yes,Rural,Yes,3,24,Male,Child,Single/Never Married,Primary education,Self employed
Rwanda,2016,No,Rural,Yes,6,34,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,No,Rural,Yes,5,45,Female,Head of Household,Widowed,Primary education,Farming and Fishing
Rwanda,2016,No,Rural,No,1,75,Female,Head of Household,Widowed,No formal education,Farming and Fishing
Rwanda,2016,No,Rural,No,2,23,Male,Parent,Divorced/Seperated,No formal education,Farming and Fishing
Rwanda,2016,No,Rural,No,1,87,Female,Head of Household,Widowed,No formal education,Remittance Dependent
Rwanda,2016,No,Rural,Yes,4,31,Male,Head of Household,Married/Living together,Primary education,Informally employed
Rwanda,2016,No,Urban,Yes,7,36,Female,Spouse,Married/Living together,Primary education,Informally employed
Rwanda,2016,No,Rural,Yes,5,68,Female,Head of Household,Widowed,No formal education,Dont Know/Refuse to answer
Rwanda,2016,No,Rural,No,6,17,Male,Child,Single/Never Married,Secondary education,Remittance Dependent
Rwanda,2016,Yes,Urban,Yes,2,22,Female,Head of Household,Divorced/Seperated,Primary education,Informally employed
Rwanda,2016,No,Rural,Yes,5,16,Male,Child,Single/Never Married,Primary education,Informally employed
Rwanda,2016,No,Rural,Yes,6,30,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,No,Rural,Yes,3,26,Female,Spouse,Married/Living together,Primary education,Informally employed
Rwanda,2016,No,Urban,Yes,4,29,Female,Spouse,Married/Living together,Tertiary education,Remittance Dependent
Rwanda,2016,No,Urban,Yes,3,23,Female,Parent,Single/Never Married,Secondary education,Farming and Fishing
Rwanda,2016,No,Rural,Yes,1,88,Female,Head of Household,Widowed,No formal education,Farming and Fishing
Rwanda,2016,No,Rural,Yes,7,43,Male,Head of Household,Married/Living together,Primary education,Informally employed
Rwanda,2016,No,Rural,Yes,4,34,Female,Head of Household,Divorced/Seperated,Primary education,Informally employed
Rwanda,2016,No,Rural,Yes,7,32,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,No,Rural,Yes,3,30,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,No,Rural,No,1,67,Female,Head of Household,Widowed,No formal education,Government Dependent
Rwanda,2016,No,Rural,Yes,4,35,Female,Head of Household,Single/Never Married,Secondary education,Self employed
Rwanda,2016,No,Rural,No,5,37,Female,Spouse,Married/Living together,No formal education,Informally employed
Rwanda,2016,No,Rural,Yes,5,49,Female,Head of Household,Widowed,No formal education,Informally employed
Rwanda,2016,No,Rural,Yes,3,20,Female,Child,Single/Never Married,Secondary education,Farming and Fishing
Rwanda,2016,No,Rural,Yes,4,28,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,No,Rural,Yes,4,38,Male,Head of Household,Married/Living together,Secondary education,Informally employed
Rwanda,2016,No,Rural,Yes,3,35,Female,Head of Household,Widowed,No formal education,Informally employed
Rwanda,2016,Yes,Rural,Yes,3,67,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,No,Rural,Yes,2,65,Female,Head of Household,Widowed,No formal education,Farming and Fishing
Rwanda,2016,No,Rural,Yes,4,55,Female,Head of Household,Divorced/Seperated,Primary education,Farming and Fishing
Rwanda,2016,No,Rural,Yes,2,73,Male,Head of Household,Married/Living together,No formal education,Remittance Dependent
Rwanda,2016,No,Urban,Yes,5,34,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,No,Rural,No,3,37,Female,Head of Household,Widowed,No formal education,Informally employed
Rwanda,2016,Yes,Rural,Yes,5,33,Male,Head of Household,Married/Living together,Primary education,Self employed
Rwanda,2016,No,Rural,Yes,3,25,Male,Head of Household,Married/Living together,Primary education,Informally employed
Rwanda,2016,No,Rural,Yes,7,42,Male,Head of Household,Married/Living together,Primary education,Informally employed
Rwanda,2016,No,Rural,Yes,4,45,Female,Head of Household,Widowed,Primary education,Farming and Fishing
Rwanda,2016,No,Rural,Yes,1,66,Female,Head of Household,Widowed,No formal education,Informally employed
Rwanda,2016,No,Rural,Yes,5,35,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,No,Rural,Yes,8,16,Female,Child,Single/Never Married,Secondary education,Informally employed
Rwanda,2016,No,Rural,Yes,3,28,Male,Head of Household,Married/Living together,Primary education,Informally employed
Rwanda,2016,No,Rural,No,4,27,Male,Head of Household,Married/Living together,No formal education,Informally employed
Rwanda,2016,No,Urban,Yes,5,16,Female,Child,Single/Never Married,Secondary education,Remittance Dependent
Rwanda,2016,No,Rural,Yes,6,16,Male,Child,Single/Never Married,Primary education,Farming and Fishing
Rwanda,2016,Yes,Rural,Yes,3,27,Female,Spouse,Married/Living together,Secondary education,Farming and Fishing
Rwanda,2016,No,Rural,Yes,7,24,Male,Child,Single/Never Married,Primary education,Self employed
Rwanda,2016,No,Rural,No,4,56,Female,Head of Household,Widowed,No formal education,Farming and Fishing
Rwanda,2016,Yes,Urban,Yes,7,37,Female,Spouse,Married/Living together,Tertiary education,Remittance Dependent
Rwanda,2016,No,Rural,Yes,4,44,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,No,Rural,No,3,71,Female,Head of Household,Widowed,No formal education,Remittance Dependent
Rwanda,2016,No,Rural,Yes,4,24,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,No,Rural,Yes,6,37,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing
Rwanda,2016,No,Rural,No,5,55,Female,Head of Household,Married/Living together,Primary education,Informally employed
Rwanda,2016,No,Urban,Yes,6,18,Female,Child,Single/Never Married,Secondary education,Informally employed
Rwanda,2016,No,Rural,Yes,8,36,Female,Spouse,Married/Living together,Primary education,Informally employed
Rwanda,2016,No,Rural,No,5,30,Male,Head of Household,Married/Living together,Primary education,Informally employed
Rwanda,2016,No,Rural,Yes,4,63,Female,Head of Household,Widowed,Primary education,Informally employed
Rwanda,2016,No,Urban,Yes,4,34,Female,Spouse,Married/Living together,Primary education,Other Income
Rwanda,2016,No,Rural,Yes,5,40,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,No,Rural,Yes,8,18,Female,Child,Single/Never Married,Primary education,Informally employed
Rwanda,2016,No,Rural,Yes,3,27,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,No,Urban,Yes,4,55,Male,Head of Household,Married/Living together,Secondary education,Formally employed Private
Rwanda,2016,No,Rural,Yes,5,35,Female,Head of Household,Divorced/Seperated,Primary education,Farming and Fishing
Rwanda,2016,No,Rural,Yes,6,32,Female,Spouse,Married/Living together,No formal education,Informally employed
Rwanda,2016,No,Rural,Yes,3,21,Female,Child,Single/Never Married,Primary education,Farming and Fishing
Rwanda,2016,No,Rural,Yes,1,80,Female,Head of Household,Widowed,No formal education,Farming and Fishing
Rwanda,2016,No,Rural,Yes,6,43,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing
Rwanda,2016,No,Rural,Yes,4,38,Female,Head of Household,Divorced/Seperated,Primary education,Informally employed
Rwanda,2016,No,Rural,Yes,5,66,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,No,Rural,Yes,3,31,Male,Head of Household,Married/Living together,Primary education,Dont Know/Refuse to answer
Rwanda,2016,No,Rural,Yes,4,28,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,Yes,Rural,Yes,5,29,Female,Spouse,Married/Living together,Secondary education,Formally employed Government
Rwanda,2016,Yes,Rural,Yes,6,33,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,No,Rural,Yes,2,67,Female,Head of Household,Widowed,No formal education,Remittance Dependent
Rwanda,2016,No,Rural,Yes,6,28,Female,Head of Household,Widowed,No formal education,Informally employed
Rwanda,2016,No,Rural,Yes,6,36,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,No,Rural,Yes,3,26,Male,Head of Household,Married/Living together,No formal education,Self employed
Rwanda,2016,No,Rural,Yes,3,62,Male,Head of Household,Married/Living together,No formal education,Informally employed
Rwanda,2016,No,Rural,Yes,5,33,Female,Head of Household,Married/Living together,Primary education,Other Income
Rwanda,2016,No,Rural,Yes,3,75,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,No,Urban,Yes,8,41,Female,Spouse,Married/Living together,No formal education,Informally employed
Rwanda,2016,No,Rural,No,5,33,Female,Spouse,Married/Living together,Primary education,Informally employed
Rwanda,2016,No,Rural,Yes,6,49,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,No,Rural,Yes,2,67,Female,Head of Household,Widowed,No formal education,Farming and Fishing
Rwanda,2016,No,Urban,Yes,3,49,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,No,Rural,Yes,2,24,Female,Spouse,Married/Living together,Secondary education,Informally employed
Rwanda,2016,No,Rural,No,3,26,Male,Head of Household,Married/Living together,No formal education,Informally employed
Rwanda,2016,No,Urban,Yes,4,47,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,No,Rural,No,4,44,Female,Head of Household,Widowed,Primary education,Informally employed
Rwanda,2016,No,Rural,Yes,7,45,Female,Spouse,Married/Living together,Primary education,Informally employed
Rwanda,2016,Yes,Rural,Yes,8,41,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,Yes,Rural,Yes,2,64,Male,Head of Household,Married/Living together,Secondary education,Self employed
Rwanda,2016,No,Rural,Yes,4,21,Male,Parent,Single/Never Married,Primary education,Other Income
Rwanda,2016,No,Rural,Yes,7,23,Female,Child,Married/Living together,Secondary education,Farming and Fishing
Rwanda,2016,No,Rural,Yes,3,28,Male,Child,Single/Never Married,Primary education,Informally employed
Rwanda,2016,No,Urban,Yes,3,17,Male,Child,Single/Never Married,Secondary education,Other Income
Rwanda,2016,No,Rural,Yes,4,31,Female,Spouse,Married/Living together,Primary education,Self employed
Rwanda,2016,No,Rural,No,1,85,Female,Head of Household,Widowed,No formal education,Government Dependent
Rwanda,2016,No,Rural,Yes,4,26,Male,Head of Household,Married/Living together,Primary education,Informally employed
Rwanda,2016,No,Rural,Yes,5,44,Female,Spouse,Married/Living together,Primary education,Informally employed
Rwanda,2016,No,Rural,Yes,8,29,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,No,Rural,Yes,6,24,Female,Parent,Single/Never Married,Primary education,Self employed
Rwanda,2016,No,Urban,Yes,1,30,Female,Head of Household,Single/Never Married,Secondary education,Informally employed
Rwanda,2016,No,Rural,No,1,70,Female,Head of Household,Widowed,Primary education,Farming and Fishing
